Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
188,634,744,48,0,118,896,1709,0.0,45.0
189,454,525,-59,0,-113,3654,3244,0.0,45.0
190,574,488,2,0,31,12269,10989,0.0,45.0
191,681,639,29,0,-179,10566,9915,0.0,45.0
192,540,743,44,0,-76,11633,11535,0.0,45.0
193,464,601,-41,0,85,13175,14127,0.0,45.0
194,700,646,-49,0,-116,8041,6834,0.0,45.0
195,604,543,3,0,63,5094,3794,0.0,45.0
196,630,719,-6,0,-161,2126,3387,0.0,45.0
197,735,537,-44,0,-158,13320,12730,0.0,45.0
198,664,475,-51,0,-27,13287,11950,0.0,45.0
199,661,638,-18,0,83,10276,11248,0.0,45.0
200,601,647,-28,0,18,559,1313,0.0,45.0
201,727,450,-1,0,-64,9416,8178,0.0,45.0
202,642,726,29,0,1,4697,5915,0.0,45.0
203,729,468,-54,0,-13,9860,11050,0.0,45.0
204,688,609,-19,0,-93,2893,2780,0.0,45.0
205,703,498,35,0,4,3933,3703,0.0,45.0
206,476,606,56,0,-177,8740,8382,0.0,45.0
207,507,635,-54,0,-113,9706,8306,0.0,45.0
208,589,566,-15,0,94,603,1569,0.0,45.0
209,603,728,58,0,168,6517,7689,0.0,45.0
210,728,650,19,0,49,5507,6944,0.0,45.0
211,453,515,-23,0,-83,6068,5964,0.0,45.0
212,706,595,-7,0,176,1878,2199,0.0,45.0
213,523,565,-12,0,94,5711,6945,0.0,45.0
214,603,576,15,0,170,7464,6027,0.0,45.0
215,483,567,-12,0,178,3748,2872,0.0,45.0
216,475,493,-14,0,10,2070,3298,0.0,45.0
217,570,484,11,0,163,7416,7925,0.0,45.0
218,583,507,-58,0,97,1975,1256,0.0,45.0
219,741,489,46,0,13,10890,10453,0.0,45.0
220,488,616,17,0,-122,5204,6604,0.0,45.0
221,569,573,-3,0,-115,8208,9386,0.0,45.0
222,615,600,-35,0,41,1189,1444,0.0,45.0
223,514,672,-28,0,-108,12642,12611,0.0,45.0
224,522,739,32,0,-34,11189,11997,0.0,45.0
225,711,733,-9,0,-76,8364,8493,0.0,45.0
226,499,582,-54,0,-99,6750,7434,0.0,45.0
227,500,523,6,0,-66,4791,4176,0.0,45.0
228,507,481,43,0,-151,11694,11888,0.0,45.0
229,654,706,29,0,-164,12853,14293,0.0,45.0
230,666,610,-24,0,44,10374,11060,0.0,45.0
231,670,460,17,0,-69,2966,4170,0.0,45.0
232,556,486,-56,0,134,2669,3637,0.0,45.0
233,589,614,-28,0,88,10101,9988,0.0,45.0
234,475,729,-43,0,115,3710,3802,0.0,45.0
235,578,698,-6,0,112,6757,7998,0.0,45.0
